product,totalcost,product_quantity,postedRole,created
Brassicaceae,27.28,3,Retailer,2019-01-31T08:18:06Z
Scrophulariaceae,64.41,53,Supplier,2018-05-22T19:35:46Z
Polygonaceae,6.07,44,Farmer,2018-11-23T20:23:38Z
Polemoniaceae,11.66,37,Retailer,2018-10-29T06:43:19Z
Poaceae,86.12,90,Retailer,2019-01-23T13:36:46Z
Rosaceae,83.77,60,Supplier,2019-01-12T15:02:45Z
Liliaceae,15.48,53,Retailer,2018-11-25T19:06:44Z
Gesneriaceae,30.06,85,Supplier,2018-10-20T11:33:52Z
Melastomataceae,43.89,1,Farmer,2018-08-09T04:51:27Z
Cyperaceae,73.58,15,Supplier,2019-01-31T08:02:08Z
Rosaceae,86.20,55,Retailer,2018-07-27T09:54:48Z
Liliaceae,82.80,46,Supplier,2019-03-18T01:50:21Z
Cyperaceae,78.19,86,Supplier,2019-01-24T14:38:22Z
Lamiaceae,68.08,7,Retailer,2018-10-01T14:19:12Z
Caryophyllaceae,18.92,38,Farmer,2018-05-25T22:44:44Z
Liliaceae,97.53,4,Farmer,2018-09-08T08:30:29Z
Catillariaceae,71.14,11,Supplier,2019-04-07T08:51:37Z
Brassicaceae,91.57,25,Supplier,2018-07-31T01:38:23Z
Solanaceae,93.87,61,Supplier,2018-11-30T19:16:08Z
Fabaceae,38.57,74,Retailer,2018-07-01T14:58:06Z
Solanaceae,62.68,74,Retailer,2018-07-05T12:13:50Z
Fabaceae,13.39,75,Supplier,2018-08-11T06:52:30Z
Poaceae,69.37,7,Supplier,2018-07-13T01:00:33Z
Droseraceae,14.47,8,Retailer,2019-04-02T04:52:46Z
Myrsinaceae,31.37,14,Supplier,2018-11-18T00:36:26Z
Ranunculaceae,1.77,66,Retailer,2018-06-05T15:39:09Z
Liliaceae,56.76,35,Retailer,2018-09-28T22:52:12Z
Euphorbiaceae,86.63,9,Retailer,2018-06-06T09:02:18Z
Rosaceae,60.08,38,Retailer,2018-05-15T08:16:57Z
Solanaceae,18.82,59,Supplier,2018-12-12T13:01:21Z
Polemoniaceae,92.44,59,Retailer,2018-05-21T13:04:58Z
Clusiaceae,0.68,14,Farmer,2018-10-20T11:44:36Z
Apiaceae,97.60,64,Retailer,2018-06-09T03:58:18Z
Juncaceae,68.96,31,Retailer,2018-12-03T11:47:00Z
Lamiaceae,35.51,67,Supplier,2018-07-03T11:24:48Z
Polemoniaceae,67.62,19,Supplier,2018-07-09T08:46:18Z
Apiaceae,3.86,29,Farmer,2019-01-09T22:53:37Z
Oleaceae,11.73,21,Retailer,2018-08-16T01:06:29Z
Haloragaceae,81.85,53,Farmer,2018-10-19T11:16:26Z
Fabaceae,83.75,94,Farmer,2018-09-09T04:28:30Z
Asteraceae,13.12,54,Retailer,2019-01-27T20:37:10Z
Euphorbiaceae,50.64,7,Supplier,2018-07-22T16:00:45Z
Rosaceae,18.08,28,Farmer,2018-06-09T20:42:01Z
Fabaceae,51.32,1,Retailer,2018-05-10T20:10:14Z
Rosaceae,62.47,82,Farmer,2018-05-24T19:59:15Z
Brassicaceae,42.30,78,Retailer,2018-10-14T04:15:20Z
